TEAM,TEAM_ID,PORTFOLIO,PORTFOLIO_ID,PLANT,PLANT_ID,PERIOD,PRICE1,PRICE2,PRICE3,PRICE4
Friedman,5,Low_Fossil,7,HUNTERS_POINT_4,74,3,75.90,75.90,75.90,75.90
Friedman,5,Low_Fossil,7,DIABLO_CANYON_1,75,3,41.60,42.60,43.60,41.60
Heckman,6,East_Bay,5,PITTSBURGH_1-4,51,3,40.94,40.94,40.94,40.94
Heckman,6,East_Bay,5,PITTSBURGH_5-6,52,3,36.61,36.61,36.61,36.61
Heckman,6,East_Bay,5,PITTSBURG_7,53,3,59.72,59.72,59.72,59.72
Heckman,6,East_Bay,5,CONTRA_COSTA_4-5,54,3,58.28,58.28,58.28,58.28
Heckman,6,East_Bay,5,CONTRA_COSTA_6-7,55,3,39.50,39.50,39.50,39.50
Heckman,6,East_Bay,5,POTRERO_HILL,56,3,69.83,69.83,69.83,69.83
Krugman,7,Old_Timers,6,BIG_CREEK,61,3,0.00,0.00,0.00,0.00
Krugman,7,Old_Timers,6,MOHAVE_1,62,3,34.50,34.50,37.00,34.50
Krugman,7,Old_Timers,6,MOHAVE_2,63,3,34.50,34.50,37.00,34.50
Krugman,7,Old_Timers,6,HIGHGROVE,64,3,49.61,49.61,53.00,49.61
Krugman,7,Old_Timers,6,SAN_BERNARDINO,65,3,53.94,53.94,56.00,53.94
Arrow,1,Beachfront,4,COOLWATER,41,2,42.39,43.82,42.39,42.39
Arrow,1,Beachfront,4,ETIWANDA_1-4,42,2,42.67,43.83,42.67,42.67
Arrow,1,Beachfront,4,ETIWANDA_5,43,2,62.89,62.89,62.89,62.89
Arrow,1,Beachfront,4,ELLWOOD,44,2,75.61,75.61,75.61,75.61
Arrow,1,Beachfront,4,MANDALAY_1-2,45,2,39.06,39.06,39.06,39.06
Arrow,1,Beachfront,4,MANDALAY_3,46,2,52.06,52.06,52.06,52.06
Arrow,1,Beachfront,4,ORMOND_BEACH_1,47,2,38.06,38.06,38.06,38.06
Arrow,1,Beachfront,4,ORMOND_BEACH_2,48,2,38.06,38.06,38.06,38.06
Becker,2,Big_Coal,1,Four Corners,11,2,36.60,36.60,36.60,36.60
Becker,2,Big_Coal,1,ALAMITOS_7,12,2,75.60,75.60,75.60,75.60
Becker,2,Big_Coal,1,HUNTINGTON_BEACH_1-2,13,2,40.93,40.93,40.93,40.93
Becker,2,Big_Coal,1,HUNTINGTON_BEACH_5,14,2,69.82,69.82,69.82,69.82
Becker,2,Big_Coal,1,REDONDO_5-6,15,2,42.38,42.38,42.38,42.38
Becker,2,Big_Coal,1,REDONDO_7-8,16,2,42.38,42.38,42.38,42.38
Coase,3,Bay_Views,3,MORRO_BAY_1-2,31,2,41.91,43.81,58.25,38.78
Coase,3,Bay_Views,3,MORRO_BAY_3-4,32,2,36.61,36.61,36.61,36.61
Coase,3,Bay_Views,3,MOSS_LANDING_6,33,2,32.56,32.56,32.56,32.56
Coase,3,Bay_Views,3,MOSS_LANDING_7,34,2,32.56,32.56,32.56,32.56
Coase,3,Bay_Views,3,OAKLAND,35,2,62.88,62.88,65.48,62.88
Debreu,4,Big_Gas,2,EL_SEGUNDO_1-2,21,2,44.83,44.83,52.40,44.84
Debreu,4,Big_Gas,2,EL_SEGUNDO_3-4,22,2,41.90,44.80,52.40,41.94
Debreu,4,Big_Gas,2,LONG_BEACH,23,2,53.00,53.00,52.50,53.00
Debreu,4,Big_Gas,2,NORTH_ISLAND,24,2,66.00,66.00,66.00,66.00
Debreu,4,Big_Gas,2,ENCINA,25,2,41.90,44.80,52.40,41.94
Debreu,4,Big_Gas,2,KEARNY,26,2,90.06,90.06,90.06,90.06
Debreu,4,Big_Gas,2,SOUTH_BAY,27,2,43.83,44.80,52.40,44.00
Friedman,5,Low_Fossil,7,HUMBOLDT,71,2,47.60,47.60,47.60,47.60
Friedman,5,Low_Fossil,7,HELMS,72,2,41.50,42.50,43.50,41.50
Friedman,5,Low_Fossil,7,HUNTERS_POINT_1-2,73,2,49.50,49.45,49.45,49.45
Friedman,5,Low_Fossil,7,HUNTERS_POINT_4,74,2,75.90,75.90,75.90,75.90
Friedman,5,Low_Fossil,7,DIABLO_CANYON_1,75,2,41.50,42.50,43.50,41.50
Heckman,6,East_Bay,5,PITTSBURGH_1-4,51,2,40.94,40.94,40.94,40.94
Heckman,6,East_Bay,5,PITTSBURGH_5-6,52,2,36.61,36.61,36.61,36.61
Heckman,6,East_Bay,5,PITTSBURG_7,53,2,59.72,59.72,59.72,59.72
Heckman,6,East_Bay,5,CONTRA_COSTA_4-5,54,2,58.28,58.28,58.28,58.28
Heckman,6,East_Bay,5,CONTRA_COSTA_6-7,55,2,39.50,39.50,39.50,39.50
Heckman,6,East_Bay,5,POTRERO_HILL,56,2,69.83,69.83,69.83,69.83
Krugman,7,Old_Timers,6,BIG_CREEK,61,2,0.00,0.00,0.00,0.00
Krugman,7,Old_Timers,6,MOHAVE_1,62,2,34.50,36.00,40.00,34.50
Krugman,7,Old_Timers,6,MOHAVE_2,63,2,34.50,36.00,40.00,34.50
Krugman,7,Old_Timers,6,HIGHGROVE,64,2,49.61,49.61,49.61,49.61
Krugman,7,Old_Timers,6,SAN_BERNARDINO,65,2,53.94,53.94,53.94,53.94
Arrow,1,Beachfront,4,COOLWATER,41,1,44.60,43.81,44.82,42.81
Arrow,1,Beachfront,4,ETIWANDA_1-4,42,1,44.65,43.82,44.82,42.82
Arrow,1,Beachfront,4,ETIWANDA_5,43,1,70.00,70.00,70.00,70.00
Arrow,1,Beachfront,4,ELLWOOD,44,1,80.00,80.00,80.00,80.00
Arrow,1,Beachfront,4,MANDALAY_1-2,45,1,40.49,43.31,44.82,42.80
Arrow,1,Beachfront,4,MANDALAY_3,46,1,55.00,54.00,53.00,54.00
Arrow,1,Beachfront,4,ORMOND_BEACH_1,47,1,39.99,43.31,44.82,42.80
Arrow,1,Beachfront,4,ORMOND_BEACH_2,48,1,39.99,43.31,44.82,42.80
Becker,2,Big_Coal,1,Four Corners,11,1,36.60,42.67,44.83,42.39
Becker,2,Big_Coal,1,ALAMITOS_7,12,1,75.60,75.60,75.60,75.60
Becker,2,Big_Coal,1,HUNTINGTON_BEACH_1-2,13,1,40.93,42.67,44.83,42.39
Becker,2,Big_Coal,1,HUNTINGTON_BEACH_5,14,1,69.82,69.82,69.82,69.82
Becker,2,Big_Coal,1,REDONDO_5-6,15,1,42.38,44.00,46.00,43.00
Becker,2,Big_Coal,1,REDONDO_7-8,16,1,42.38,44.00,46.00,43.00
Coase,3,Bay_Views,3,MORRO_BAY_1-2,31,1,39.05,43.80,47.41,43.78
Coase,3,Bay_Views,3,MORRO_BAY_3-4,32,1,39.05,43.80,47.41,43.78
Coase,3,Bay_Views,3,MOSS_LANDING_6,33,1,39.05,43.80,47.41,43.78
Coase,3,Bay_Views,3,MOSS_LANDING_7,34,1,39.47,43.80,49.60,43.78
Coase,3,Bay_Views,3,OAKLAND,35,1,62.88,62.88,62.88,62.88
Debreu,4,Big_Gas,2,EL_SEGUNDO_1-2,21,1,45.00,50.00,55.00,46.00
Debreu,4,Big_Gas,2,EL_SEGUNDO_3-4,22,1,42.00,45.00,48.00,42.00
Debreu,4,Big_Gas,2,LONG_BEACH,23,1,53.00,56.00,55.00,52.50
Debreu,4,Big_Gas,2,NORTH_ISLAND,24,1,66.00,68.00,72.00,66.00
Debreu,4,Big_Gas,2,ENCINA,25,1,42.00,44.00,48.00,42.00
Debreu,4,Big_Gas,2,KEARNY,26,1,90.06,90.06,100.00,90.06
Debreu,4,Big_Gas,2,SOUTH_BAY,27,1,44.00,50.00,52.00,44.00
Friedman,5,Low_Fossil,7,HUMBOLDT,71,1,49.40,53.00,54.00,49.00
Friedman,5,Low_Fossil,7,HELMS,72,1,16.00,25.00,30.00,15.00
Friedman,5,Low_Fossil,7,HUNTERS_POINT_1-2,73,1,51.00,53.50,54.00,51.00
Friedman,5,Low_Fossil,7,HUNTERS_POINT_4,74,1,77.00,78.00,77.00,76.00
Friedman,5,Low_Fossil,7,DIABLO_CANYON_1,75,1,27.00,35.00,38.00,28.00
Heckman,6,East_Bay,5,PITTSBURGH_1-4,51,1,41.00,44.50,46.50,44.00
Heckman,6,East_Bay,5,PITTSBURGH_5-6,52,1,40.50,44.50,46.50,44.00
Heckman,6,East_Bay,5,PITTSBURG_7,53,1,60.00,60.00,60.00,60.00
Heckman,6,East_Bay,5,CONTRA_COSTA_4-5,54,1,58.00,58.00,58.00,58.00
Heckman,6,East_Bay,5,CONTRA_COSTA_6-7,55,1,40.50,44.50,46.50,44.00
Heckman,6,East_Bay,5,POTRERO_HILL,56,1,70.00,70.00,70.00,70.00
Krugman,7,Old_Timers,6,BIG_CREEK,61,1,0.00,0.00,0.00,0.00
Krugman,7,Old_Timers,6,MOHAVE_1,62,1,34.50,34.50,37.00,34.50
Krugman,7,Old_Timers,6,MOHAVE_2,63,1,34.50,34.50,37.00,34.50
Krugman,7,Old_Timers,6,HIGHGROVE,64,1,49.61,49.61,52.00,49.61
Krugman,7,Old_Timers,6,SAN_BERNARDINO,65,1,53.94,53.94,56.00,53.94
