TEAM,TEAM_ID,PORTFOLIO,PORTFOLIO_ID,PLANT,PLANT_ID,PERIOD,PRICE1,PRICE2,PRICE3,PRICE4
Krugman,7,Big_Gas,2,NORTH_ISLAND,24,3,65.50,65.50,65.50,65.50
Krugman,7,Big_Gas,2,ENCINA,25,3,41.67,42.66,41.67,42.66
Krugman,7,Big_Gas,2,KEARNY,26,3,90.06,90.06,90.06,90.06
Krugman,7,Big_Gas,2,SOUTH_BAY,27,3,43.83,47.37,57.97,37.37
Arrow,1,Big_Coal,1,Four Corners,11,2,36.60,36.60,499.97,36.60
Arrow,1,Big_Coal,1,ALAMITOS_7,12,2,75.60,75.60,499.99,75.60
Arrow,1,Big_Coal,1,HUNTINGTON_BEACH_1-2,13,2,40.93,40.93,499.99,40.93
Arrow,1,Big_Coal,1,HUNTINGTON_BEACH_5,14,2,69.82,69.82,499.99,69.82
Arrow,1,Big_Coal,1,REDONDO_5-6,15,2,42.38,43.82,499.98,42.38
Arrow,1,Big_Coal,1,REDONDO_7-8,16,2,42.38,43.82,499.98,42.38
Becker,2,Low_Fossil,7,HUMBOLDT,71,2,49.60,49.60,58.25,49.60
Becker,2,Low_Fossil,7,HELMS,72,2,0.50,0.50,0.50,0.50
Becker,2,Low_Fossil,7,HUNTERS_POINT_1-2,73,2,49.60,49.60,58.25,49.60
Becker,2,Low_Fossil,7,HUNTERS_POINT_4,74,2,75.89,75.89,75.89,75.89
Becker,2,Low_Fossil,7,DIABLO_CANYON_1,75,2,11.50,11.50,11.50,11.50
Coase,3,Old_Timers,6,BIG_CREEK,61,2,0.00,0.00,0.00,0.00
Coase,3,Old_Timers,6,MOHAVE_1,62,2,34.50,34.50,34.50,34.50
Coase,3,Old_Timers,6,MOHAVE_2,63,2,34.50,34.50,34.50,34.50
Coase,3,Old_Timers,6,HIGHGROVE,64,2,49.61,49.61,80.00,49.61
Coase,3,Old_Timers,6,SAN_BERNARDINO,65,2,53.94,53.94,80.00,53.94
Debreu,4,Beachfront,4,COOLWATER,41,2,42.39,43.00,44.83,42.67
Debreu,4,Beachfront,4,ETIWANDA_1-4,42,2,42.67,43.00,45.00,42.67
Debreu,4,Beachfront,4,ETIWANDA_5,43,2,62.89,62.89,62.89,62.89
Debreu,4,Beachfront,4,ELLWOOD,44,2,75.61,75.61,75.61,75.61
Debreu,4,Beachfront,4,MANDALAY_1-2,45,2,40.94,41.94,44.83,41.00
Debreu,4,Beachfront,4,MANDALAY_3,46,2,52.06,52.06,52.06,53.50
Debreu,4,Beachfront,4,ORMOND_BEACH_1,47,2,40.94,41.94,44.83,41.00
Debreu,4,Beachfront,4,ORMOND_BEACH_2,48,2,40.94,41.94,44.83,41.00
Friedman,5,Bay_Views,3,MORRO_BAY_1-2,31,2,38.78,38.78,38.78,38.78
Friedman,5,Bay_Views,3,MORRO_BAY_3-4,32,2,36.61,36.61,36.61,36.61
Friedman,5,Bay_Views,3,MOSS_LANDING_6,33,2,32.56,32.56,32.56,32.56
Friedman,5,Bay_Views,3,MOSS_LANDING_7,34,2,32.56,32.56,32.56,32.56
Friedman,5,Bay_Views,3,OAKLAND,35,2,61.17,61.17,61.17,61.17
Heckman,6,East_Bay,5,PITTSBURGH_1-4,51,2,40.94,40.94,40.94,40.94
Heckman,6,East_Bay,5,PITTSBURGH_5-6,52,2,36.61,36.61,36.61,36.61
Heckman,6,East_Bay,5,PITTSBURG_7,53,2,59.72,59.72,59.72,59.72
Heckman,6,East_Bay,5,CONTRA_COSTA_4-5,54,2,58.28,58.28,58.28,58.28
Heckman,6,East_Bay,5,CONTRA_COSTA_6-7,55,2,39.50,39.50,39.50,39.50
Heckman,6,East_Bay,5,POTRERO_HILL,56,2,69.83,69.83,69.83,69.83
Krugman,7,Big_Gas,2,EL_SEGUNDO_1-2,21,2,44.83,47.38,57.98,44.83
Krugman,7,Big_Gas,2,EL_SEGUNDO_3-4,22,2,41.92,41.22,41.22,41.22
Krugman,7,Big_Gas,2,LONG_BEACH,23,2,52.50,52.50,57.99,52.50
Krugman,7,Big_Gas,2,NORTH_ISLAND,24,2,65.50,65.50,65.50,65.50
Krugman,7,Big_Gas,2,ENCINA,25,2,41.93,42.66,41.67,41.67
Krugman,7,Big_Gas,2,KEARNY,26,2,90.06,90.06,90.06,90.06
Krugman,7,Big_Gas,2,SOUTH_BAY,27,2,43.83,47.37,57.97,43.83
Arrow,1,Big_Coal,1,Four Corners,11,1,38.77,43.81,59.69,43.81
Arrow,1,Big_Coal,1,ALAMITOS_7,12,1,75.60,75.60,75.60,75.60
Arrow,1,Big_Coal,1,HUNTINGTON_BEACH_1-2,13,1,40.93,43.81,59.69,47.38
Arrow,1,Big_Coal,1,HUNTINGTON_BEACH_5,14,1,69.82,69.82,69.82,69.82
Arrow,1,Big_Coal,1,REDONDO_5-6,15,1,42.38,43.81,59.70,47.38
Arrow,1,Big_Coal,1,REDONDO_7-8,16,1,42.38,43.81,59.70,47.38
Becker,2,Low_Fossil,7,HUMBOLDT,71,1,47.44,47.44,49.60,47.44
Becker,2,Low_Fossil,7,HELMS,72,1,38.95,42.56,44.72,42.28
Becker,2,Low_Fossil,7,HUNTERS_POINT_1-2,73,1,49.17,49.17,49.60,49.17
Becker,2,Low_Fossil,7,HUNTERS_POINT_4,74,1,75.89,75.89,75.89,75.89
Becker,2,Low_Fossil,7,DIABLO_CANYON_1,75,1,38.95,42.56,44.72,42.28
Coase,3,Old_Timers,6,BIG_CREEK,61,1,38.06,42.39,42.67,41.67
Coase,3,Old_Timers,6,MOHAVE_1,62,1,39.50,43.83,52.06,42.67
Coase,3,Old_Timers,6,MOHAVE_2,63,1,39.50,43.83,52.06,42.67
Coase,3,Old_Timers,6,HIGHGROVE,64,1,50.00,52.00,53.00,50.00
Coase,3,Old_Timers,6,SAN_BERNARDINO,65,1,54.00,55.09,56.02,54.00
Debreu,4,Beachfront,4,COOLWATER,41,1,42.50,43.00,45.00,43.00
Debreu,4,Beachfront,4,ETIWANDA_1-4,42,1,42.50,43.00,45.00,43.00
Debreu,4,Beachfront,4,ETIWANDA_5,43,1,62.89,63.00,63.00,62.89
Debreu,4,Beachfront,4,ELLWOOD,44,1,75.61,76.00,76.00,75.61
Debreu,4,Beachfront,4,MANDALAY_1-2,45,1,40.30,42.67,43.00,42.67
Debreu,4,Beachfront,4,MANDALAY_3,46,1,52.06,53.00,54.00,52.06
Debreu,4,Beachfront,4,ORMOND_BEACH_1,47,1,38.16,42.67,43.00,42.50
Debreu,4,Beachfront,4,ORMOND_BEACH_2,48,1,38.16,42.67,43.00,42.50
Friedman,5,Bay_Views,3,MORRO_BAY_1-2,31,1,38.00,42.00,44.00,41.50
Friedman,5,Bay_Views,3,MORRO_BAY_3-4,32,1,38.50,43.00,50.00,42.00
Friedman,5,Bay_Views,3,MOSS_LANDING_6,33,1,39.00,44.00,55.00,43.00
Friedman,5,Bay_Views,3,MOSS_LANDING_7,34,1,40.25,47.00,60.00,44.00
Friedman,5,Bay_Views,3,OAKLAND,35,1,65.00,68.00,70.00,67.00
Heckman,6,East_Bay,5,PITTSBURGH_1-4,51,1,42.00,43.00,44.00,42.00
Heckman,6,East_Bay,5,PITTSBURGH_5-6,52,1,43.00,44.00,46.00,43.00
Heckman,6,East_Bay,5,PITTSBURG_7,53,1,43.00,44.00,46.00,43.00
Heckman,6,East_Bay,5,CONTRA_COSTA_4-5,54,1,64.00,64.00,68.00,64.00
Heckman,6,East_Bay,5,CONTRA_COSTA_6-7,55,1,65.00,65.00,68.00,65.00
Heckman,6,East_Bay,5,POTRERO_HILL,56,1,80.00,80.00,80.00,80.00
Krugman,7,Big_Gas,2,EL_SEGUNDO_1-2,21,1,44.84,47.43,58.26,47.43
Krugman,7,Big_Gas,2,EL_SEGUNDO_3-4,22,1,41.23,47.41,58.23,47.41
Krugman,7,Big_Gas,2,LONG_BEACH,23,1,52.51,52.51,58.27,52.51
Krugman,7,Big_Gas,2,NORTH_ISLAND,24,1,65.51,65.51,65.51,65.51
Krugman,7,Big_Gas,2,ENCINA,25,1,41.68,47.41,58.24,47.41
Krugman,7,Big_Gas,2,KEARNY,26,1,90.07,90.07,90.07,90.07
Krugman,7,Big_Gas,2,SOUTH_BAY,27,1,43.84,47.42,58.25,47.42
